Simulation number,run_time,ALGORITHM,EARLY_STOP,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,DPW_EXPLORATION,DPW_ALPHA,MIN_SET_SIZE,DPW_PROBABILISTIC,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
8656522,172,NAIVE,False,750000,1000,0.9998,8,0.4,11,True,1274264,0,1274264
8656523,25,ProgressiveWideningSolver,False,750000,1000,0.9998,4,0.2,11,True,1317580,0,1317580
8656524,41,ProgressiveWideningSolver,False,750000,1000,0.9998,8,0.2,11,True,1288648,0,1288648
8656525,64,ProgressiveWideningSolver,False,750000,1000,0.9998,4,0.4,11,True,1280261,0,1280261
8656526,102,ProgressiveWideningSolver,False,750000,1000,0.9998,8,0.4,11,True,1301941,0,1301941
8656527,44,DPWSolver,False,750000,1000,0.998,4,0.2,6,True,1254134,0,1254134
8656528,59,DPWSolver,False,750000,1000,0.998,8,0.2,6,True,1264051,0,1264051
8656529,62,DPWSolver,False,750000,1000,0.998,4,0.4,6,True,1260563,0,1260563
8656530,95,DPWSolver,False,750000,1000,0.998,8,0.4,6,True,1263751,0,1263751
8656531,161,NAIVE,False,750000,1000,0.998,8,0.4,6,True,1268425,0,1268425
8656532,17,ProgressiveWideningSolver,False,750000,1000,0.998,4,0.2,6,True,1277998,0,1277998
8656533,35,ProgressiveWideningSolver,False,750000,1000,0.998,8,0.2,6,True,1268106,0,1268106
8656534,53,ProgressiveWideningSolver,False,750000,1000,0.998,4,0.4,6,True,1279905,0,1279905
8656535,94,ProgressiveWideningSolver,False,750000,1000,0.998,8,0.4,6,True,1279201,0,1279201
8656536,50,DPWSolver,False,750000,1000,0.998,4,0.2,11,True,1268717,0,1268717
8656537,56,DPWSolver,False,750000,1000,0.998,8,0.2,11,True,1253674,0,1253674
8656538,77,DPWSolver,False,750000,1000,0.998,4,0.4,11,True,1263133,0,1263133
8656539,108,DPWSolver,False,750000,1000,0.998,8,0.4,11,True,1252849,0,1252849
8656540,188,NAIVE,False,750000,1000,0.998,8,0.4,11,True,1307831,0,1307831
8656541,20,ProgressiveWideningSolver,False,750000,1000,0.998,4,0.2,11,True,1280689,0,1280689
8656542,35,ProgressiveWideningSolver,False,750000,1000,0.998,8,0.2,11,True,1277930,0,1277930
8656543,53,ProgressiveWideningSolver,False,750000,1000,0.998,4,0.4,11,True,1284632,0,1284632
8656544,94,ProgressiveWideningSolver,False,750000,1000,0.998,8,0.4,11,True,1279404,0,1279404
8656545,24,DPWSolver,True,500000,500,0.9998,4,0.2,6,True,1247697,0,1247697
8656546,29,DPWSolver,True,500000,500,0.9998,8,0.2,6,True,1246911,0,1246911
8656547,30,DPWSolver,True,500000,500,0.9998,4,0.4,6,True,1294814,0,1294814
8656548,36,DPWSolver,True,500000,500,0.9998,8,0.4,6,True,1301257,0,1301257
8656549,90,NAIVE,True,500000,500,0.9998,8,0.4,6,True,1332089,0,1332089
8656550,14,ProgressiveWideningSolver,True,500000,500,0.9998,4,0.2,6,True,1305793,0,1305793
8656551,22,ProgressiveWideningSolver,True,500000,500,0.9998,8,0.2,6,True,1271287,0,1271287
8656552,26,ProgressiveWideningSolver,True,500000,500,0.9998,4,0.4,6,True,1303589,0,1303589
8656553,41,ProgressiveWideningSolver,True,500000,500,0.9998,8,0.4,6,True,1321648,0,1321648
8656554,26,DPWSolver,True,500000,500,0.9998,4,0.2,11,True,1266705,0,1266705
8656555,30,DPWSolver,True,500000,500,0.9998,8,0.2,11,True,1244873,0,1244873
8656556,31,DPWSolver,True,500000,500,0.9998,4,0.4,11,True,1287464,0,1287464
8656557,44,DPWSolver,True,500000,500,0.9998,8,0.4,11,True,1279206,0,1279206
8656558,92,NAIVE,True,500000,500,0.9998,8,0.4,11,True,1307390,0,1307390
8656559,14,ProgressiveWideningSolver,True,500000,500,0.9998,4,0.2,11,True,1298436,0,1298436
8656560,22,ProgressiveWideningSolver,True,500000,500,0.9998,8,0.2,11,True,1288785,0,1288785
8656561,30,ProgressiveWideningSolver,True,500000,500,0.9998,4,0.4,11,True,1277705,0,1277705
8656562,46,ProgressiveWideningSolver,True,500000,500,0.9998,8,0.4,11,True,1304200,0,1304200
8656563,25,DPWSolver,True,500000,500,0.998,4,0.2,6,True,1264586,0,1264586
8656564,28,DPWSolver,True,500000,500,0.998,8,0.2,6,True,1252700,0,1252700
8656565,28,DPWSolver,True,500000,500,0.998,4,0.4,6,True,1271596,0,1271596
8656566,36,DPWSolver,True,500000,500,0.998,8,0.4,6,True,1290033,0,1290033
8656567,86,NAIVE,True,500000,500,0.998,8,0.4,6,True,1276673,0,1276673
8656568,11,ProgressiveWideningSolver,True,500000,500,0.998,4,0.2,6,True,1332664,0,1332664
8656569,21,ProgressiveWideningSolver,True,500000,500,0.998,8,0.2,6,True,1272328,0,1272328
8656570,24,ProgressiveWideningSolver,True,500000,500,0.998,4,0.4,6,True,1308048,0,1308048
8656571,42,ProgressiveWideningSolver,True,500000,500,0.998,8,0.4,6,True,1305321,0,1305321
8656572,25,DPWSolver,True,500000,500,0.998,4,0.2,11,True,1251260,0,1251260
8656573,26,DPWSolver,True,500000,500,0.998,8,0.2,11,True,1259819,0,1259819
8656574,30,DPWSolver,True,500000,500,0.998,4,0.4,11,True,1265371,0,1265371
8656575,43,DPWSolver,True,500000,500,0.998,8,0.4,11,True,1287026,0,1287026
8656576,91,NAIVE,True,500000,500,0.998,8,0.4,11,True,1324295,0,1324295
8656577,11,ProgressiveWideningSolver,True,500000,500,0.998,4,0.2,11,True,1290304,0,1290304
8656578,20,ProgressiveWideningSolver,True,500000,500,0.998,8,0.2,11,True,1307759,0,1307759
8656579,29,ProgressiveWideningSolver,True,500000,500,0.998,4,0.4,11,True,1287798,0,1287798
8656580,48,ProgressiveWideningSolver,True,500000,500,0.998,8,0.4,11,True,1291786,0,1291786
8656581,49,DPWSolver,True,500000,1000,0.9998,4,0.2,6,True,1234678,0,1234678
8656582,61,DPWSolver,True,500000,1000,0.9998,8,0.2,6,True,1272030,0,1272030
8656583,70,DPWSolver,True,500000,1000,0.9998,4,0.4,6,True,1265833,0,1265833
8656584,99,DPWSolver,True,500000,1000,0.9998,8,0.4,6,True,1249864,0,1249864
8656585,172,NAIVE,True,500000,1000,0.9998,8,0.4,6,True,1319212,0,1319212
8656586,29,ProgressiveWideningSolver,True,500000,1000,0.9998,4,0.2,6,True,1290646,0,1290646
8656587,45,ProgressiveWideningSolver,True,500000,1000,0.9998,8,0.2,6,True,1287977,0,1287977
8656588,62,ProgressiveWideningSolver,True,500000,1000,0.9998,4,0.4,6,True,1285264,0,1285264
8656589,108,ProgressiveWideningSolver,True,500000,1000,0.9998,8,0.4,6,True,1297539,0,1297539
8656590,49,DPWSolver,True,500000,1000,0.9998,4,0.2,11,True,1259269,0,1259269
8656591,60,DPWSolver,True,500000,1000,0.9998,8,0.2,11,True,1247503,0,1247503
8656592,67,DPWSolver,True,500000,1000,0.9998,4,0.4,11,True,1258739,0,1258739
8656593,101,DPWSolver,True,500000,1000,0.9998,8,0.4,11,True,1283821,0,1283821
8656594,171,NAIVE,True,500000,1000,0.9998,8,0.4,11,True,1285600,0,1285600
8656595,24,ProgressiveWideningSolver,True,500000,1000,0.9998,4,0.2,11,True,1263857,0,1263857
8656596,45,ProgressiveWideningSolver,True,500000,1000,0.9998,8,0.2,11,True,1297601,0,1297601
8656597,68,ProgressiveWideningSolver,True,500000,1000,0.9998,4,0.4,11,True,1300005,0,1300005
8656598,109,ProgressiveWideningSolver,True,500000,1000,0.9998,8,0.4,11,True,1294746,0,1294746
8656599,47,DPWSolver,True,500000,1000,0.998,4,0.2,6,True,1235181,0,1235181
8656600,53,DPWSolver,True,500000,1000,0.998,8,0.2,6,True,1264187,0,1264187
8656601,71,DPWSolver,True,500000,1000,0.998,4,0.4,6,True,1255715,0,1255715
8656602,95,DPWSolver,True,500000,1000,0.998,8,0.4,6,True,1243931,0,1243931
