Simulation number,run_time,ALGORITHM,EARLY_STOP,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,DPW_ALPHA,DPW_PROBABILISTIC,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
4956398,13,DPWSolver,False,500000,200,0.9998,0.4,False,1163418,0,1163418
4956399,41,NAIVE,False,500000,200,0.9998,0.4,False,1151256,0,1151256
4956400,9,ProgressiveWideningSolver,False,500000,200,0.9998,0.2,False,1144586,0,1144586
4956401,13,ProgressiveWideningSolver,False,500000,200,0.9998,0.4,False,1180614,0,1180614
4956402,11,DPWSolver,False,500000,200,0.999,0.2,True,1126777,0,1126777
4956403,11,DPWSolver,False,500000,200,0.999,0.2,False,1123697,0,1123697
4956404,13,DPWSolver,False,500000,200,0.999,0.4,True,1110141,0,1110141
4956405,12,DPWSolver,False,500000,200,0.999,0.4,False,1127002,0,1127002
4956406,38,NAIVE,False,500000,200,0.999,0.4,False,1137821,0,1137821
4956407,8,ProgressiveWideningSolver,False,500000,200,0.999,0.2,False,1169232,0,1169232
4956408,13,ProgressiveWideningSolver,False,500000,200,0.999,0.4,False,1141351,0,1141351
4956409,28,DPWSolver,False,500000,500,0.9998,0.2,True,1101171,0,1101171
4956410,28,DPWSolver,False,500000,500,0.9998,0.2,False,1088113,0,1088113
4956411,40,DPWSolver,False,500000,500,0.9998,0.4,True,1113100,0,1113100
4956412,40,DPWSolver,False,500000,500,0.9998,0.4,False,1114478,0,1114478
4956413,94,NAIVE,False,500000,500,0.9998,0.4,False,1138690,0,1138690
4956414,19,ProgressiveWideningSolver,False,500000,500,0.9998,0.2,False,1098488,0,1098488
